cues,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10
chambre,séjour,balcon,piscine,bain,restaurant,cuisinette,verdoyant,jardin,bureau
chambre_nb_occurrences,2,1,1,1,1,1,1,1,1
question,appréhender,souhaiter,soulever,demander,répondre,enjeu,réfléchir,réponse,analyser,perspective
question_nb_occurrences,1,1,1,1,1,1,1,1,1,1
acte,recours,civil,pourvoi,pénal,olographe,distinction,infraction,tribunal,commission
acte_nb_occurrences,2,1,1,1,1,1,1,1,1
rose,campanule,colorer,orangé,mauve,fleur,rouge,marron,jaune,superbe,sourire
rose_nb_occurrences,1,1,1,1,1,1,1,1,1,1
oncle,soeur,fils,grand-père,cousin,épouser,mari,grand-mère,garçon,mourir
oncle_nb_occurrences,2,1,1,1,1,1,1,1,1
herbe,roncier,talus,feuillage,tonte,haie,cultiver,sol,plain,hameau,soleil
herbe_nb_occurrences,1,1,1,1,1,1,1,1,1,1
faim,bouffer,appétit,dénuement,rassasier,finir,nourriture,venger,croire
faim_nb_occurrences,2,2,1,1,1,1,1,1
école,pédagogique,éducatif,élémentaire,apprentissage,enseignant,enseigner,classe,collège,discipline
école_nb_occurrences,2,1,1,1,1,1,1,1,1
lit,pelotonner,lave-vaisselle,rendormir,traversin,chambre,lever,asseoir,linge,soir,tête
lit_nb_occurrences,1,1,1,1,1,1,1,1,1,1
masse,dynamomètre,comparable,nombre,ingérer,enthalpie,cinétique,concentration,réduire,considération,observer
masse_nb_occurrences,1,1,1,1,1,1,1,1,1,1
flamme,incandescent,rougeoyant,palpiter,enflammer,brume,cheminée,éteindre,splendeur,amoureux
flamme_nb_occurrences,2,1,1,1,1,1,1,1,1
lèvre,paupière,moue,endormir,fluet,caresser,visage,sourire,jambe,instant
lèvre_nb_occurrences,2,1,1,1,1,1,1,1,1
passage,pente,descendre,grimpette,slalomer,redescente,commencer,pont,emprunter,grimper,sortir
passage_nb_occurrences,1,1,1,1,1,1,1,1,1,1
principe,doctrine,convenir,prévaloir,déterminer,découler,considérer,définir,fonder,article,directive
principe_nb_occurrences,1,1,1,1,1,1,1,1,1,1
sens,philosophique,subjectivité,convenir,signifier,pouvoir,agir,dialectique,raison,logique
sens_nb_occurrences,2,1,1,1,1,1,1,1,1
habitude,pareil,dire,espérer,croire,contenter,faire,chose,vouloir,falloir
habitude_nb_occurrences,2,1,1,1,1,1,1,1,1
passion,angoisse,tristesse,plaisir,bonheur,merveilleux,émerveiller,partager,heureux,embrasser,désir
passion_nb_occurrences,1,1,1,1,1,1,1,1,1,1
désir,instinctuel,émotion,conscience,divin,amour,humilité,âme,angoisse,éternité,dieu
désir_nb_occurrences,1,1,1,1,1,1,1,1,1,1
larme,aimer,désespoir,aller,consoler,gémissement,amour,triste,croire
larme_nb_occurrences,3,1,1,1,1,1,1,1
vache,tétée,basse-cour,truie,meugler,porc,élevage,volaille,marrer,poulet,dormir
vache_nb_occurrences,1,1,1,1,1,1,1,1,1,1
début,entamer,mi-août,attendre,mi-octobre,mois,arriver,terminer,repartir,prochain
début_nb_occurrences,2,1,1,1,1,1,1,1,1
pierre,isabelle,rocheux,marcel,joseph,marc,jésuite,claude,sylvain,monsieur
pierre_nb_occurrences,2,1,1,1,1,1,1,1,1
visage,rire,pâle,exorbité,rigoler,décharner,tendresse,tête,soupirer,émouvoir,soleil
visage_nb_occurrences,1,1,1,1,1,1,1,1,1,1
arbre,retombant,houx,branchage,espalier,frondaison,fleuve,pelouse,feuillage,falaise,espèce
arbre_nb_occurrences,1,1,1,1,1,1,1,1,1,1
position,prétendre,développer,signifier,repositionner,inverse,contradictoire,global,articuler,politique
position_nb_occurrences,2,1,1,1,1,1,1,1,1
avis,formuler,instruction,approbation,notification,notifier,comité,défavorable,délégué,siéger,instance
avis_nb_occurrences,1,1,1,1,1,1,1,1,1,1
