cues,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10
machine,ordinateur,mini-ordinateur,automate,prototype,processeur,calculateur,appareil,matériel
machine_nb_occurrences,2,2,1,1,1,1,1,1
rapport,recommandation,commission,analyse,audition,synthèse,rapporteur
rapport_nb_occurrences,3,2,2,1,1,1
genre,débile,rigolo,marrant,surtout,bref,truc,vrai,chose
genre_nb_occurrences,3,1,1,1,1,1,1,1
jardin,jardinier,fleurir,tonnelle,promenade,verdure,balcon,terrasse,maison,cuisine
jardin_nb_occurrences,2,1,1,1,1,1,1,1,1
rayon,surface,cône,courbure,diamètre,kilomètre,supermarché,soleil
vin_nb_occurrences,2,2,1,1,1,1,1,1
rôle,acteur,facilitateur,implication,institutionnel,importance,prépondérant
rôle_nb_occurrences,3,2,2,1,1,1
horizon,vaste,avenir,émerger,esquisser,lointain,perspective,ambition,profiler
horizon_nb_occurrences,2,2,1,1,1,1,1,1
jambe,bras,poignet,coude,épaule,nuque,pied,fesse,courir
jambe_nb_occurrences,3,1,1,1,1,1,1,1
page,cliquer,imprimer,navigation,bibliographie,revue,numéro
page_nb_occurrences,2,2,2,2,1,1
fil,bobine,billet,actualité,connecter,filaire,conducteur,commentaire
fil_nb_occurrences,2,2,2,1,1,1,1
soeur,tante,mère,mari,jumeau,cousin,aîné,famille
soeur_nb_occurrences,2,2,2,1,1,1,1
preuve,indiscutable,véracité,probant,irréfutable,honnêteté,fait,démontrer,prétendre,convaincre
preuve_nb_occurrences,2,1,1,1,1,1,1,1,1
morceau,mélodie,sonorité,planant,remixer,sample,mélodique,album,solo,oreille
morceau_nb_occurrences,2,1,1,1,1,1,1,1,1
gauche,électeur,bipartisme,gaulliste,présidentiel,parti,centriste,progressiste,socialiste,communiste
gauche_nb_occurrences,2,1,1,1,1,1,1,1,1
doigt,lèvre,bout,main,bras,pincer,nez
doigt_nb_occurrences,2,2,2,2,1,1
garçon,gamin,parent,copain,jeune,mère,soeur,père
garçon_nb_occurrences,3,2,1,1,1,1,1
façon,supposer,évident,fait,sorte,permettre,manière,pouvoir
façon_nb_occurrences,2,2,2,1,1,1,1
chambre,gîte,spacieux,bain,canapé-lit,petit-déjeuner,meubler,bureau
chambre_nb_occurrences,3,2,1,1,1,1,1
question,problème,répondre,discussion,aborder,questionnement,réponse,sujet,débat
question_nb_occurrences,2,2,1,1,1,1,1,1
acte,civil,jugement,pénal,nullité,consentement,filiation,autorité
acte_nb_occurrences,2,2,2,1,1,1,1
rose,rouge,violet,pétale,jaune,bleu,joli,fleur,beau
rose_nb_occurrences,2,2,1,1,1,1,1,1
oncle,tante,mère,grand-père,cousin,frère,fils,mourir
oncle_nb_occurrences,3,2,1,1,1,1,1
herbe,gazon,sous-bois,brouter,pelouse,plante,végétation,prairie,caillou,terre
herbe_nb_occurrences,2,1,1,1,1,1,1,1,1
faim,rassasier,famine,manger,fringale,soif,appétit,affamer,tuer
faim_nb_occurrences,2,2,1,1,1,1,1,1
école,enseignement,élève,lycée,enseigner,maternel,enseignant,primaire
école_nb_occurrences,2,2,2,1,1,1,1
lit,drap,matelas,lavabo,dormir,canapé-lit,allonger,toilette,coucher,asseoir
lit_nb_occurrences,2,1,1,1,1,1,1,1,1
masse,quantité,pesanteur,surface,volumique,inertie,poids,faible,prolétariat,phénomène
masse_nb_occurrences,2,1,1,1,1,1,1,1,1
flamme,feu,fumée,enflammer,lueur,étincelle,éteindre,instant
flamme_nb_occurrences,2,2,2,1,1,1,1
lèvre,commissure,visage,sourire,mordiller,caresser,bras
lèvre_nb_occurrences,3,2,2,1,1,1
passage,descente,passer,traverser,franchissement,descendre,demi-tour
passage_nb_occurrences,3,2,2,1,1,1
principe,appliquer,découler,fondement,nécessité,énoncer,législateur,fondamental
principe_nb_occurrences,3,2,1,1,1,1,1
sens,signifier,signification,pensée,agir,intuition,logique
sens_nb_occurrences,3,2,2,1,1,1
habitude,faire,surtout,chose,aller,changer,essayer
habitude_nb_occurrences,4,2,1,1,1,1
passion,amour,émotion,aimer,bonheur,plaisir,partager,joie,amoureux
passion_nb_occurrences,3,1,1,1,1,1,1,1
désir,amour,âme,inassouvi,pulsion,sentiment,esprit,pensée
désir_nb_occurrences,3,2,1,1,1,1,1
larme,triste,pleur,tristesse,émouvoir,rire
larme_nb_occurrences,3,2,2,2,1
vache,cochon,bovin,bouse,bête,meugler,fou,veau,gros
vache_nb_occurrences,2,2,1,1,1,1,1,1
début,commencer,achever,mi-février,dernier,période,fin,premier,terminer
début_nb_occurrences,3,1,1,1,1,1,1,1
pierre,alain,marc,rocher,joseph,claude,abbé,jacques,robert
pierre_nb_occurrences,2,2,1,1,1,1,1,1
visage,sourire,décharner,impassible,buriner,contempler,lèvre,peau
visage_nb_occurrences,4,1,1,1,1,1,1
arbre,frondaison,forêt,arbrisseau,conifère,branchage,arbuste,chêne,plante
arbre_nb_occurrences,2,2,1,1,1,1,1,1
position,positionnement,dominant,inverse,opposer,point,positionner,droite
position_nb_occurrences,3,2,1,1,1,1,1
avis,compétent,commission,délibération,conseil,demande,défavorable,consultatif
avis_nb_occurrences,3,2,1,1,1,1,1
