cues,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10
machine,automate,prototype,ordinateur,mini-ordinateur,mini-ordinateur,ordinateur,processeur,calculateur,appareil,matériel
machine,entrée-sortie,exploitation,processeur,multimédia,microprocesseur,donnée,boîtier,utiliser,connecteur,équipement
rapport,recommandation,audition,recommandation,synthèse,commission,analyse,recommandation,commission,rapporteur,analyse
rapport,concerner,élaborer,recommandation,méthodologie,consultatif,approche,préconiser,assemblée,constitutionnel,enquête
genre,rigolo,marrant,débile,débile,débile,surtout,bref,truc,vrai,chose
genre,adorer,con,chier,idiot,débile,falloir,vrai,rigoler,avouer,dire
jardin,fleurir,tonnelle,jardinier,promenade,verdure,jardinier,balcon,terrasse,maison,cuisine
jardin,pépiniériste,maison,jardinerie,verdoyant,promenade,château,parking,nicher,grandiose,bar
rayon,surface,cône,courbure,diamètre,courbure,surface,kilomètre,supermarché,cône,soleil
rayon,sphérique,luminosité,cylindrique,cylindrique,épaisseur,rectangulaire,kilomètre,enseigne,géométrique,kilomètre
colline,surplomber,verdoyant,verdoyant,surplomber,serpenter,rocher,mont,plain,vallée,forêt
colline,surplomber,pittoresque,nicher,majestueux,longer,admirer,longer,bourg,sentier,terre
chien,muselière,affectueux,fox-terrier,muselière,muselière,croquette,animal,toutou,animal,maman
chien,pit-bull,obéissant,sociabiliser,câlin,toutou,croquette,bête,adorable,coude,manger
peau,cutané,démaquiller,épiderme,épiderme,hydratant,poil,crème,teint,crème,gras
peau,eczéma,hypoallergénique,sébum,hydratation,hydratant,doux,crème,sourire,miel,gras
mur,chambranle,crépi,parapet,dalle,muraille,dalle,paroi,muraille,accrocher,hauteur
mur,voussure,décorer,mâchicoulis,surélever,muraille,dalle,épaisseur,vestige,attendre,hauteur
science,chercheur,discipline,chercheur,philosophie,philosophie,scientifique,philosophie,épistémologie,vulgarisation,recherche
science,théorie,connaissance,chercheur,pragmatiste,philosophe,discipline,théologie,sociologique,subjectivité,institut
enfant,grands-parents,garçon,enfance,grands-parents,enfance,scolariser,enfance,parent,famille,bébé
enfant,adolescence,rigolo,familial,familial,enfance,parental,aîné,jeune,lycée,soeur
lune,étoile,lunaire,astre,couchant,étoile,étoile,étoile,soleil,nuit,nuit
