cues,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_11,r_12
machine,turbine,planche,canette,buse,pédale
machine_nb_occurrences,4,3,2,2,1
rapport,comparé,baromètre,bilan,biais,trimestre
rapport_nb_occurrences,3,3,2,2,2
genre,sujet,sensationnalisme,snobisme,voyeurisme,type
genre_nb_occurrences,4,3,2,2,1
jardin,verger,cabanon,balcon,potager,patio
jardin_nb_occurrences,5,3,2,1,1
rayon,périmètre,bocal,magasin,hypermarché
rayon_nb_occurrences,3,3,3,3
colline,corniche,citadelle,butte,falaise,rivière
colline_nb_occurrences,3,3,2,2,2
chien,toutou,chat,chiot,labrador,chaton
chien_nb_occurrences,5,2,2,2,1
peau,épiderme,texture,pigmentation,chevelure
peau_nb_occurrences,4,4,2,2
mur,parapet,rebord,sol
mur_nb_occurrences,6,3,3
science,cosmologie,philosophie,psychologie,sociologie,neuroscience
science_nb_occurrences,4,4,2,1,1
enfant,tout-petit,adolescent,ado,bébé,bambin
enfant_nb_occurrences,3,3,3,2,1
lune,lunaire,constellation,comète,planète,terre
lune_nb_occurrences,4,3,2,2,1
cause,péril,évidence,conséquence,proie,raison
cause_nb_occurrences,4,3,2,2,1
table,planchette,console,commode,chaise
table_nb_occurrences,5,4,2,1
toit,auvent,rebord,capot,plancher,porche
toit_nb_occurrences,4,2,2,2,2
jeunesse,renaissance,culture,enfance,littérature
jeunesse_nb_occurrences,4,4,2,2
nord,nord-ouest,nord-est,sud-est,sud,sud-ouest
nord_nb_occurrences,5,3,2,1,1
direction,supervision,directeur,présidence,délégation,coordination
direction_nb_occurrences,3,3,3,2,1
mer,lagune,montagne,rivière,rade
mer_nb_occurrences,5,3,2,2
objet,acte,inventaire,apologie,élément
objet_nb_occurrences,4,3,3,2
appel,grief,unanimité,écho,objet
appel_nb_occurrences,4,4,2,2
lutte,répression,corruption,prévention,mobilisation,lutter
lutte_nb_occurrences,4,3,2,2,1
mari,ex-mari,beau-frère,beau-père,fiancé,père
mari_nb_occurrences,5,3,2,1,1
vin,vins,saké,rosé,whisky,champagne
vin_nb_occurrences,6,3,1,1,1
rôle,leadership,comportement,contexte,personnage,acteur
rôle_nb_occurrences,3,3,2,2,2
horizon,hexagone,automne,avenir,orée
horizon_nb_occurrences,4,4,3,1
jambe,clavicule,nuque,hanche,cuisse,fesse
jambe_nb_occurrences,5,3,2,1,1
page,pagination,section,brochure,diapositive,rubrique
page_nb_occurrences,3,3,3,2,1
fil,câble,gré,discontinuer,cordon,ruban
fil_nb_occurrences,3,3,3,2,1
soeur,mère,fille,belle-fille,nièce
soeur_nb_occurrences,4,4,2,2
preuve,présomption,conviction,rigueur,démonstration
preuve_nb_occurrences,5,3,3,1
morceau,bâtonnet,album,fragment,refrain,clip
morceau_nb_occurrences,3,3,3,2,1
gauche,cuisse,colonne,flèche
gauche_nb_occurrences,6,4,2
doigt,orteil,poignet,nez,téton,gland
doigt_nb_occurrences,3,3,2,2,2
garçon,ado,gamin,bébé,fille,garçonnet
garçon_nb_occurrences,3,3,3,2,1
façon,démarche,méthode,volonté,pensée
façon_nb_occurrences,5,3,3,1
chambre,salle,chambrette,maison,mezzanine
chambre_nb_occurrences,4,3,3,2
question,revendication,notion,préoccupation,interrogation
question_nb_occurrences,5,4,2,1
acte,argument,aveu,acquiescement,interrogatoire
acte_nb_occurrences,5,3,2,2
rose,violet,mauve,pourpre,fuchsia,turquoise
rose_nb_occurrences,4,3,2,2,1
oncle,beau-père,cousin,beau-frère,grand-père,petit-fils
oncle_nb_occurrences,3,3,3,2,1
herbe,ortie,argile,ombre,écorce,asperge
herbe_nb_occurrences,4,3,3,1,1
faim,famine,peur,fringale
faim_nb_occurrences,7,3,2
école,aumônerie,académie,université,éducation
école_nb_occurrences,5,5,1,1
lit,drap,canapé-lit,chevet,sofa,sommier
lit_nb_occurrences,5,3,2,1,1
masse,proportion,fraction,fragmentation,quantité,densité
masse_nb_occurrences,4,4,2,1,1
flamme,bougie,mèche,lumière,étincelle,lueur
flamme_nb_occurrences,4,2,2,2,2
lèvre,vulve,cicatrice,pommette,mâchoire
lèvre_nb_occurrences,5,3,2,2
passage,saut,retour,glissement,basculement,déplacement
passage_nb_occurrences,5,2,2,2,1
principe,mécanisme,raisonnement,formalisme,dogme,postulat
principe_nb_occurrences,4,4,2,1,1
sens,sentiment,raisonnement,goût,courage,pragmatisme
sens_nb_occurrences,4,3,2,2,1
habitude,intention,impression,occasion,idée
habitude_nb_occurrences,4,3,3,2
passion,gourmandise,fierté,curiosité,fascination,fougue
passion_nb_occurrences,5,3,2,1,1
désir,dégoût,narcissisme,fantasme,sentiment,ressentiment
désir_nb_occurrences,5,2,2,2,1
larme,goutte,étincelle,frayeur,larmichette,gifle
larme_nb_occurrences,7,2,1,1,1
vache,bouse,chèvre,génisse,brebis,truie
vache_nb_occurrences,4,3,2,2,1
début,lancement,mi-juillet,mi-septembre,commencement,fin
début_nb_occurrences,3,3,3,2,1
pierre,roche,joseph,hyacinthe,jacques,claude
pierre_nb_occurrences,4,3,2,2,1
visage,crâne,ventre,pubis,torse,corps
visage_nb_occurrences,5,2,2,2,1
arbre,oiseau,avocatier,écureuil,anneau,arbuste
arbre_nb_occurrences,4,3,2,2,1
position,tête,posture,trajectoire,situation
position_nb_occurrences,3,3,3,3
avis,témoignage,opinion,commentaire,article,amendement
avis_nb_occurrences,4,3,2,2,1
