cues,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10
machine,machinerie,imprimante,fonctionner,ordinateur,mécanique,microprocesseur,excavateur,processeur,mini-ordinateur
machine_nb_occurrences,2,1,1,1,1,1,1,1,1
rapport,proposition,commission,formuler,prospectif,synthèse,conclusion,rapporteur,évaluation
passion_nb_occurrences,2,1,1,1,1,1,1,1,1
désir,sentiment,assouvissement,âme,éprouver,charnel,esprit,fantasme,pulsion
désir_nb_occurrences,3,1,1,1,1,1,1,1
larme,sanglot,pleur,tendresse,couler,rire,chagrin,triste
larme_nb_occurrences,3,2,1,1,1,1,1
vache,paître,meugler,boeuf,bête,troupeau,fou,lait,bovidé
vache_nb_occurrences,2,2,1,1,1,1,1,1
début,terminer,dernier,mi-octobre,année,mi-février,premier
début_nb_occurrences,2,2,2,2,1,1
pierre,louis,claude,tombal,jacques,abbé,joseph,jean,gilbert
pierre_nb_occurrences,2,2,1,1,1,1,1,1
visage,sourire,lèvre,ombre,pâleur,bras,inexpressif,impassible,rictus
visage_nb_occurrences,2,2,1,1,1,1,1,1
arbre,branchage,arbrisseau,feuillage,rocher,lierre,herbe,arbuste
arbre_nb_occurrences,2,2,2,1,1,1,1
position,positionner,point,attitude,positionnement,divergence,dominant,posture,majoritaire,opposition
position_nb_occurrences,2,1,1,1,1,1,1,1,1
avis,émettre,défavorable,proposition,délibération,consultatif,notifier,commission,compétent
avis_nb_occurrences,2,2,1,1,1,1,1,1
