cues,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10
machine,plieuse,emboutissage,poinçonnage,ms-dos,programmation,machine-outil,électroérosion,perçage,rivetage,fraisage
machine_nb_occurrences,1,1,1,1,1,1,1,1,1,1
rapport,conclusion,européen,rectificatif,autorité,bilan,formuler,formatif,préciser,managérial,concernant
rapport_nb_occurrences,1,1,1,1,1,1,1,1,1,1
genre,surtout,héhé,gens,apparement,absolument,roman,juste,sous-genre,manquer,chose
genre_nb_occurrences,1,1,1,1,1,1,1,1,1,1
jardin,terrasse,bouturer,idyllique,graminée,rose,jardinière,arbuste,ombrager,village,jardinet
jardin_nb_occurrences,1,1,1,1,1,1,1,1,1,1
rayon,conique,pénombre,angle,ellipse,calculer,bragg,sécante,cercle,trigonométrique,réfringent
rayon_nb_occurrences,1,1,1,1,1,1,1,1,1,1
colline,contrebas,sablonneux,escarpement,typique,promenade,rocheux,village,vallonnement,traverser,serpenter
colline_nb_occurrences,1,1,1,1,1,1,1,1,1,1
chien,pistage,midémon,colley,chaton,male,agility,malinoise,tatoués,sociabilisation
chien_nb_occurrences,2,1,1,1,1,1,1,1,1
peau,hydratant,démaquillant,stratum,peeling,douleur,hydratante,lotion,exfoliant,dessèchement,raffermissant
peau_nb_occurrences,1,1,1,1,1,1,1,1,1,1
mur,murs,talocher,gâble,semi-circulaire,coincer,barlong,refend,essentage,rejointoyer,gouttereau
mur_nb_occurrences,1,1,1,1,1,1,1,1,1,1
science,transdisciplinaire,ater,sous-discipline,irem,mathématiques,rationaliste,pluridisciplinaire,appliquées,ihpst,discipline
science_nb_occurrences,1,1,1,1,1,1,1,1,1,1
enfant,école,famille,agréee,ludothèque,grandir,assistantes,enfants-parent,paje,ados
enfant_nb_occurrences,2,1,1,1,1,1,1,1,1
lune,saros,kepler,astrométrique,diaphane,nuit,écliptique,éclipse,astre,resplendissant,précession
lune_nb_occurrences,1,1,1,1,1,1,1,1,1,1
cause,imputable,considérer,seul,hypothèse,prématuré,entraîner,inhérent,résulter,aggravation,autre
cause_nb_occurrences,1,1,1,1,1,1,1,1,1,1
table,chaise,organisées,guéridon,pouf,dessus,étagère,pouvoir,etagères,prizepool,vaisselier
table_nb_occurrences,1,1,1,1,1,1,1,1,1,1
toit,linteau,barlong,toitel,dallage,clocher,faîtage,couvrement,encorbellement,lanternon
toit_nb_occurrences,2,1,1,1,1,1,1,1,1
jeunesse,drjs,cnosf,jeunesses,enseignant,adulte,jeuness,collégien,crilj,socioculturel,multi-sport
jeunesse_nb_occurrences,1,1,1,1,1,1,1,1,1,1
nord,pays,septentrional,nuageux,mouscron,lens-liévin,traverser,méridional,territoire,péninsule
nord_nb_occurrences,2,1,1,1,1,1,1,1,1
direction,ministère,parini,repyramidage,représentant,national,draf,conjointement,conseiller
direction_nb_occurrences,3,1,1,1,1,1,1,1
mer,baigneur,tourmentin,funboard,pélagique,excursion,arabo-,océanographique,langoustier,brigantin,pêcheur
mer_nb_occurrences,1,1,1,1,1,1,1,1,1,1
objet,faits-main,statues,bienvenue,broderie,art,brocantille,boîtes,collections,mercerie,bougeoirs
objet_nb_occurrences,1,1,1,1,1,1,1,1,1,1
appel,électroniquement,renforcer,teleressources,précontractuel,coordination,cour,cassation,ncpc,teleprospecteur,projet
appel_nb_occurrences,1,1,1,1,1,1,1,1,1,1
lutte,lutter,aggraver,exploiteur,initiative,soutenir,oppression,violence,éradiquer,oppressif,halde
lutte_nb_occurrences,1,1,1,1,1,1,1,1,1,1
mari,père,arrière-grand-père,cousin,lamenter,jalousie,fiancé,nièce,belle-soeur,confident,fille
mari_nb_occurrences,1,1,1,1,1,1,1,1,1,1
vin,tannat,vinification,cépages,préfermentaire,aoc,repas,grenache,liquoreux,viticulteur
vin_nb_occurrences,2,1,1,1,1,1,1,1,1
rôle,importance,analyser,crucial,essentiel,montrer,contexte,négliger,primordial,différent,processus
rôle_nb_occurrences,1,1,1,1,1,1,1,1,1,1
horizon,assombrir,étinceler,notamment,privilégier,secteur,véritable,paysage,entrevoir,focaliser,immensité
horizon_nb_occurrences,1,1,1,1,1,1,1,1,1,1
jambe,hallux,poignet,hanche,huméral,épaule,tête,omoplate,palmaire
jambe_nb_occurrences,2,2,1,1,1,1,1,1
page,intro,hyphokâgneuse,chaopot,clic,sommaire,préc,questions-ré,maîtr,muzikagogo,mademoisell
page_nb_occurrences,1,1,1,1,1,1,1,1,1,1
fil,sirti,cityradio,retordre,aphatie,télévision,mouv±,bruzat,radio,tomczyk,ordonez
fil_nb_occurrences,1,1,1,1,1,1,1,1,1,1
soeur,belle-mère,père,grand-père,parent,épouser,embrasser,nièce,marâtre,petite-fille
soeur_nb_occurrences,2,1,1,1,1,1,1,1,1
preuve,égard,déférer,agir,rigueur,déplier,crainte,démontrer,grief,prétendre
preuve_nb_occurrences,2,1,1,1,1,1,1,1,1
morceau,émincer,éplucher,égouttez,vinaigrer,ôter,catchy,raggamuffin,pantera,bruitiste
morceau_nb_occurrences,2,1,1,1,1,1,1,1,1
gauche,électoralement,socialisme,sociale-démocrat,internationaliste,présidentiel,anticapitaliste,gauchiser,extrême-gauche,protestataire,parti
gauche_nb_occurrences,1,1,1,1,1,1,1,1,1,1
doigt,cuisse,sterno-,frotter,visage,fendre,paume,bout,cubital,fibulaire,phalange
doigt_nb_occurrences,1,1,1,1,1,1,1,1,1,1
garçon,grand-mère,papa,ailler,tante,toujour,jumeau,père,oncle,minimes
garçon_nb_occurrences,2,1,1,1,1,1,1,1,1
façon,est-à-dire,agir,vouloir,amener,venir,contenter,exister,complexe,sorte
façon_nb_occurrences,2,1,1,1,1,1,1,1,1
chambre,mini-bar,mini-four,terrasser,equipee,chambres,chambramie,lave-mains,gît,air-conditionné,salon-salle
chambre_nb_occurrences,1,1,1,1,1,1,1,1,1,1
question,-t-elle,même,méthodologique,falloir,sembler,y-a,appréhender,réfléchir,-on
question_nb_occurrences,2,1,1,1,1,1,1,1,1
acte,notarial,accomplir,déconsigner,gagiste,nationalité,habiliter,reconnaître,seing,authentique
acte_nb_occurrences,2,1,1,1,1,1,1,1,1
rose,violet,défleurir,gerbera,cuivrer,noir,fleur,seringat,orangé,bleu-violet,chrysanthème
rose_nb_occurrences,1,1,1,1,1,1,1,1,1,1
oncle,petite-nièce,aîné,trisaïeul,succession,garçon,soeur,épouser,beau-père,neveu
oncle_nb_occurrences,2,1,1,1,1,1,1,1,1
herbe,pâturer,epluchez,mulch,stabulation,pelouse,lotier,vinaigrette,moutons,tuteurage,paître
herbe_nb_occurrences,1,1,1,1,1,1,1,1,1,1
faim,bouffer,grignotage,hypocalorique,nécessiteux,sentir,satiété,rassasiement,soif,sentiment,estomac
faim_nb_occurrences,1,1,1,1,1,1,1,1,1,1
école,maternelle,périscolaire,parascolaire,collégien,lycée,pédagogique,diplômé,élève,groupe-classe,collège
école_nb_occurrences,1,1,1,1,1,1,1,1,1,1
lit,frigo-,pers,lave-vaisselle,balcon,convertible,lentement,gigogne,kitchenette,rez
lit_nb_occurrences,2,1,1,1,1,1,1,1,1
masse,force,évident,électroneutralité,suffisant,conquête,molaire,réactant,diminution,limiter,dépendre
masse_nb_occurrences,1,1,1,1,1,1,1,1,1,1
flamme,feu,blême,luire,obscurité,oser,enflammer,flamboyer,crépiter,consume,flammèche
flamme_nb_occurrences,1,1,1,1,1,1,1,1,1,1
lèvre,paupière,ridule,estée,peeling,amant,visage,couvrance,eye-liner,nettoyante,pommette
lèvre_nb_occurrences,1,1,1,1,1,1,1,1,1,1
passage,bifurquer,voir,parcourir,espérer,long,emprunter,chose,vouloir,empierrer,noter
passage_nb_occurrences,1,1,1,1,1,1,1,1,1,1
principe,subsidiarité,avérer,différent,instituer,clairement,énoncer,déclaratoire,constitutionnellement,préambule,édicter
